古老的颜色·第三幕 心与月蓝色的思念

画、梦境和机器狗
寻找雅各布。

前往指定地点
派蒙: 怎…怎么回事？为什么过不去了？！
玛梅赫: 奇怪…好像被什么东西堵住了…
派蒙: 呜哇，要怎么办…
旅行者(空): 要是用西摩尔把墙壁打碎的话…
西摩尔: 抱歉，，做不到。岩壁的厚度超过了我的能力极限，在挖出隧道之前，我的能源就会先耗尽。
玛梅赫: 从…从那边，游过去…父亲大人的…血…已经…
派蒙: 血…？你没事吧，玛梅赫？什么血？
玛梅赫: 已经…不能再耽搁了，我们…从那边，游过去…
旅行者(空): 那边的洋流…
玛梅赫: 没错…从那边，游过去，因为父亲大人的血…已经…
派蒙: 血…？你没事吧，玛梅赫？什么血？
玛梅赫: 已经…不能再耽搁了，我们…从那边，游过去…

与深罪浸礼者对峙
派蒙: 呜哇！那边奇怪的大石头，为什么突然变成了这个样子？！
派蒙: 而且…而且这个颜色，看上去简直就像是心脏一样…
？？？: 没错，这便是「心」原本的模样。
派蒙: 等等，这个声音…你是雅各布？
玛梅赫: 你…你究竟做了什么…
雅各布: 如您所见，只是在采集「颜料」而已，玛梅赫小姐。
雅各布: 现在想来，「颜料」还真是有趣的说法。没想到，居然真的会有人将这种肮脏的东西涂抹在自己的画布上…
玛梅赫: 什…什么？
雅各布: 不过，比起那个，我也确实没有预料到，几位居然会找到这种地方来。
雅各布: 所有可能的入口应该都已经被我封锁了，究竟是哪里出现了纰漏呢？
派蒙: 你…那副样子，你是深渊教团的人吗！
派蒙: 可恶，你们这群家伙，只要是干坏事的地方，怎么哪里都少不了你们！
雅各布: 深渊教团？请您不要将我和那些暗昧愚拙之人相提并论。
雅各布: 他们与那些压迫者并无不同，所寻求之物也不过是只有少数人能用的力量。而我们所寻求的是真正的平等，「意志」的解放。
雅各布: 正如我的友人所说，万无意识薄弱之缺陷者，既不屈服于诸神，也不屈服于死亡。
派蒙: 不要神神叨叨的！你要不是深渊教团的人，刚才那个法术又是怎么回事？
雅各布: 借助深渊的力量，稍微逆转一下晶化的过程，仅此而已。
雅各布: 毕竟，我原本也没有想到，几百年后，它的心脏已经枯萎成了这副样子。要想取得足够的血，只能先让它重新跳动起来才行。
旅行者(空): 足够的血？
雅各布: 是的。在您看来，这种方式并不怎么优雅，是吗？
雅各布: 这也是没有办法的事情。我最初也以为，只靠和平的手段，就能从玛梅赫小姐那里取得足够的凝血。
雅各布: 在不引起逐影猎人注意的情况下，完成原定的计划。只可惜事与愿违，原本的计划被破坏了。终究也是无可奈何之举。
派蒙: 欸？等一下？你之前不是说想要颜料吗？凝血又是什么东西？
旅行者(空): 解释清楚。
雅各布: …？
雅各布: 这还真是…比想象中有趣。所以，您其实并不清楚那些「颜料」的本质，更不理解它们之中蕴含的力量？
雅各布: 原来如此…原来如此，没想到我居然还说多了。
雅各布: 只不过，事到如今，我无法理解的地方在于，既然您甚至不明白那些「颜料」的价值，又为何要接近玛梅赫小姐呢？
派蒙: 哼，不要把我们和你这种图谋不轨的家伙混为一谈！
派蒙: 而且，刚才那些魔兽，果然也是你召唤出来的吧？这次又是为了什么？为什么要袭击其他美露莘？
雅各布: 「袭击美露莘」？我可没时间做那种毫无意义的事情。
雅各布: 不过，理论上来说，在我激活那些遗留下来的法阵，逆转晶化过程的时候，应该也确实会短暂地打开通往兽境的路径…
雅各布: 就像是丢在路上的腐肉会引来苍蝇，您所说的那些「魔兽」，应该就是这样被吸引过来的吧。
雅各布: 至于那些美露莘…算了，这种无关紧要的事情，我们还是不要再谈了。
派蒙: 你…你这家伙！
雅各布: 比起那个，，我很好奇，见到这里原本的风景，您有什么感想？
雅各布: 看看您的脚边吧。血流成河，就连尘土也因污秽的脂油而肥润。
雅各布: 若是我告诉您，有朝一日，在此之上的灾难将会降临，您又会作何反应呢？
旅行者(空): ？
派蒙: 呃，你在说什么东西？什么血啊油啊…这不就是稍微变红了一点吗？
西摩尔: 否定。血已经淹过了的脚踝，当前环境的污染指数也已经超过了人体所能承受阈值的十倍以上。
西摩尔: 出于安全考虑，我推荐几位立即离开此地，以免产生以下不良反应，包括但不限于过敏，恍惚，白质突变，心智退化，以及…
雅各布: 原来如此，已经被污染到这种地步了吗。
雅各布: 真是可怜。不过不必担心，我会赐予您解脱。
雅各布: 「世界式」预定的时刻很快就会到来，时间已经不多了。

与雅各布对峙
雅各布: 有趣。我原本以为，几位能来到这里，纯粹是出于运气，但现在看来，似乎不仅仅只是如此而已。
雅各布: 出于好奇，，能否请您告诉我，您究竟是什么人？
旅行者(空): 与你无关。
雅各布: 不愿意回答吗？没有关系，我也只是稍微有些好奇而已。
雅各布: 更何况，我已经没有时间可以浪费在这种地方了。
雅各布: 预定的日子已经近了，这些血也应该已经够用了。再纠缠下去的话，说不定会引起不必要的注意。
派蒙: 不许跑！什么预定的日子，你到底在说什么？！
雅各布: 无须在意。毕竟，预定的日子已经与几位无缘了。那么——
玛梅赫: …？！小心！
旅行者(空): 什么…
派蒙: 这…这是什么东西？你这卑劣的家伙，对做了什么？！
雅各布: 您没有必要说我卑劣，这与道德无关，只是出于实用主义的策略选择而已。
雅各布: 您很强，，但其他人未必如此。
派蒙: 哇啊！这些魔兽又是从什么地方冒出来的？！
西摩尔: 非常抱歉，雅各布·英戈德，恐怕我无法让你这样做。
西摩尔: 玛梅赫小姐，派蒙小姐，请退至我的身后。我的使命是保护，试图对您造成伤害的企图不会得逞。
雅各布: 就凭你，无魂的废铁？
雅各布: 那个时候，你没能履行保护玛丽安的使命，而现如今，你也只会再一次体验到自己的无能。
西摩尔: 玛…丽安？
雅各布: …即使能从战斗中幸存下来，身体机能即将再度复苏的巨兽，也会将诸位碾碎、消化吧。
雅各布: 那么，永别了。
派蒙: 呜哇！那些怪物冲过来了！
西摩尔: 肯定。玛丽安小姐是我的主人，而我的首要指令，就是代替…（嘈杂的机械音）陪伴在小姐身边，确保她拥有幸福的笑容。
西摩尔: 迄今为止，超过一又七分之三垓的齿轮时钟周期中，由于中继模块的缺失，我一直未能履行自己的义务。
西摩尔: 实际上，就连玛丽安小姐目前所处的位置，我也无法判明。这种事情不应发生。我的逻辑单元要求我立即对其进行修正。
西摩尔: 因此，若是几位不介意，请允许我暂作告别。我的定式推演模块已经计算出了最有可能收集到情报的地点，我必须立即前往。
玛梅赫: 欸…？等一下，西摩尔…要走吗？
西摩尔: 肯定。非常感谢您迄今为止对我的照顾，玛梅赫小姐，但我还有不得不履行的使命。
玛梅赫: 那…那我也一起去…
西摩尔: 否定。推定行动危险程度：高。为了您的安全，我必须拒绝您的提议，玛梅赫小姐。
西摩尔: 不过，我愿意向您保证，在找到主人后，我会回到这里，正式向您致以谢意。
西摩尔: 遗憾的是，由于我的部分记忆数据依然存在损坏，我目前尚不清楚，我需要前往的场所「水仙十字结社」，究竟位于何方。
西摩尔: 因此，搜索过程会不可避免地消耗大量的时间。请允许我事先致歉。
玛梅赫: 是喔…我明白了。
玛梅赫: 西摩尔有不得不做的事情，所以，必须要离开。但是，你也一定会回来找我，对吧？
西摩尔: 肯定。
玛梅赫: 嗯。那么，西摩尔，你一定要注意安全…
玛梅赫: 你一定要回来。因为，象征我生命的「信物」，和你在一起。所以，一定不要在什么别的地方坏掉了，害我找不着…
西摩尔: 我答应您，玛梅赫小姐。我会履行我的使命，然后返回到您所在的空间坐标位置。
玛梅赫: 嗯、嗯…我知道啦！那、那个，难得我现在有灵感，我要去画画啦！等你们忙完了，要记得回来找我喔！
旅行者(空): 一言为定。
旅行者(空): 我们会帮你暂时照顾好西摩尔。
玛梅赫: 好啦，我知道啦！、派蒙，还有西摩尔，你们要注意安全喔！
玛梅赫: 我先走了…
派蒙: 玛梅赫…
派蒙: 那么，接下来，我们要去的是什么地方…？刚刚西摩尔是不是说「水仙十字结社」来着？
旅行者(空): 水仙十字结社？
派蒙: 唔，水仙十字结社…那是什么地方呀？
西摩尔: 检索中…数据不足，无法作答。
西摩尔: 我的定式推演模块只给出了这个名字，除此之外，未检索到任何相关情报。
派蒙: 那要怎么找啦！
旅行者(空): 我们也来帮忙吧。
西摩尔: 演算中…肯定。若是您一同前往，会提高行动的成功率。
西摩尔: 非常感谢您的帮助，。
派蒙: 不管怎么说，、西摩尔，那我们出发吧！等一切都解决以后，再带着西摩尔回来找玛梅赫吧！

与玛梅赫对话
派蒙: 呜啊，总算是平安无事了…
派蒙: 不过，刚才那些圆圆的东西到底是怎么回事啊？总觉得，它们好像在帮我们一样…
派蒙: 玛梅赫，你没事吧？
玛梅赫: …是的，父亲大人。
派蒙: 啊？
玛梅赫: 欸？要在这里…？
派蒙: 哦、哦哦…我还以为是在和我说话呢…
旅行者(空): （又是那样的声音…）
玛梅赫: …我明白了。既然这是父亲大人的意愿，那就这样做吧。
玛梅赫: ，还有派蒙…请你们摆一下姿势吧，我要开始作画了。
派蒙: 咦？等等，我还没做好心理准备，要摆什么样的姿势——不对不对，比起那个，为什么在这里，在这个时间，突然开始画画？！
玛梅赫: 呃…我不知道怎么解释，西摩尔应该能帮我解释…
西摩尔: 逻辑模块演算中。尝试合理化玛梅赫小姐提出该要求的理由。演算结果：数据不足，无法作答。
西摩尔: 根据逻辑模块的演算结果，您的选择极度不合逻辑，玛梅赫小姐。
派蒙: 真是的，西摩尔你是干什么的啦…不对！玛梅赫为什么要把问题推给西摩尔啦！
西摩尔: 我被设计出的首要目的，即是…数据碎片整理中。
派蒙: 喂，西摩尔？你没事吧…？看起来好像「停机」了…
玛梅赫: 抱歉…派蒙，已经没时间解释了。不然，一切就晚了。
派蒙: 好吧，那也没办法了。虽然感觉情况很不妙，不过我相信玛梅赫。
旅行者(空): 我也相信玛梅赫。
旅行者(空): 不会刻意做出危害我们的事情。
派蒙: 但是…呜呜，我还没想好应该要用什么样的姿势…
派蒙: ，你有什么想法吗？
旅行者(空): （摆出「一切尽在掌握」的姿势。）
派蒙: 好，那我也——
旅行者(空): （摆出「大家一起上吧」的姿势。）
派蒙: 哼哼，你们已经无路可逃了！…呃，所以我要站在哪里？
旅行者(空): （摆出自信满满的姿势。）
派蒙: 没错没错，这种时候就应该要拿出这样的自信来——
派蒙: 唔…怎么样？保持这样的姿势就可以了吧？
玛梅赫: 嗯，很帅气喔。
玛梅赫: 那么，接下来的事情，就请交给我吧。
？？？: 仿佛是在鼓励自己那般，她深吸一口气，短短的尾巴在半空中轻晃几下，旋即便一言不发地开始作画，无论是呈现出的表情，还是间或投向你们的视线，都显得认真而坚定，甚至——几乎能被称作肃穆。
不久，玛梅赫完成了画作…
玛梅赫: 已经…完成了。
派蒙: 呜哇，好快！
派蒙: 唔，，我们一起看看，这是…

探索未知空间
旅行者(空): 关于刚刚的隙境原体…
厄里那斯: 啊！那时候，我看到你被困住了。我觉得，再这么下去的话，我就会活过来，然后你们都会死。
厄里那斯: 我的力量开始恢复了，于是，我就想到了，可以让这些细胞去破坏困住你的东西！这样，你就可以行动了。
旅行者(空): 那是你的细胞？
厄里那斯: 嗯！它能够帮忙驱逐身体里有害的东西，保护孩子们。不过，它们不像孩子们那么聪明，所以也会攻击你。对不起喔。
厄里那斯: 能够帮上忙，真是太好了！

与「声音」的主人见面
旅行者(空): 我该走了。玛梅赫和派蒙会担心的。
厄里那斯: 是喔…
厄里那斯: 嗯，我的时间也差不多了！虽然我还有好多好多事情想和你聊，但这次得到的生命也要用尽了。
厄里那斯: ，能拜托你帮我一个忙吗？
旅行者(空): 什么事？
厄里那斯: 帮我跟玛梅赫说…该说什么好呢？
厄里那斯: 嗯！这样吧。「你的画非常美丽，我很爱你，我很骄傲」。
厄里那斯: 啊，对了！还有就是，「要好好和姐姐妹妹相处，她们都很爱你」。
厄里那斯: 就拜托你了，！
旅行者(空): 我记住了。
厄里那斯: 嗯，谢谢你！能见到你真是太开心了。希望在未来能够有这么一天，我能够昂首走在大地上，而不用担心让别人受伤、死去。
厄里那斯: 到那时候，我一定要让你看看我真正的样子！

与大家对话
旅行者(空): 我倒是知道在哪里…
西摩尔: …？
派蒙: 嗯，我们好像确实已经去过了…虽然，要通过很神秘的方法进去，不知道西摩尔能不能顺利进来…
派蒙: 不管怎么说，、西摩尔，那我们出发吧！等一切都解决以后，再带着西摩尔回来找玛梅赫吧！
