流灰之国的迷旅人·第二章 遥望苍天之梦

雾之国的冒险
在终于击退了恶龙后，你们与自称冒险家的玻娜，还有神秘的绿宝一起，踏上了寻找天蛇船与「回还之玉」的旅途…

跟随绿宝的指引寻找源火祭坛
派蒙: 没想到绿宝把我们带到了这里，看起来和我们遇到玻娜的那个地方一样，是座奇怪的要塞呢。
派蒙: 瞧，这里也有幅一模一样的壁画，唔…不过这个上面倒是没有被涂抹的痕迹，是因为这里太高了吗？
派蒙: ，你说，这上面画的不会就是刚才玻娜说的那个蛇王吧，一看就不是很好惹的样子。
玻娜: 嗯嗯，这家伙就是蛇王奥奇坎哦，传说他为了建造天蛇船，残酷地压迫民众，直到最后引来了深渊，落得个身死国灭的下场。
玻娜: 当然这也只是传说啦，毕竟就连那个蛇王最后到底怎么样了，部族里的叙事人也有一大堆不同的说法呢。
玻娜: 说不定他现在还徘徊在那艘天蛇船里以财宝为食呢，又或者一直阻碍我们的邪龙，其实就是他的怨灵！
「绿松石」: 咕叽…
派蒙: 哇，好可怕。你别说这种吓人的话吧，绿宝都被你吓到了！
: 呀！呀！
派蒙: 自从打败了那条坏龙，就一直跃跃欲试的样子，难不成是在偷偷和绿宝进行什么冒险比赛？
派蒙: 话说回来，我们要找的那个祭坛究竟在哪呀？
玻娜: 如果绿宝所指的方向没错的话，就是在这下面…欸？我以为会是在更高的地方呢。
玻娜: 难道是搞错了什么吗，源火祭坛应该不会藏在山体的中心吧，那岂不是要把整座山都吹塌了才能把我们送到天上？
旅行者(空): 难道是有什么特殊的传送手段？
派蒙: 呃，刚才在下面还说得信誓旦旦的，这下可难办了。而且我们又听不懂绿宝说话，也不知道它到底是什么意思…
「绿松石」: 咕噜…
: 呀！呀！
派蒙: ，你有什么头绪吗？
玻娜: 我知道了，小派蒙，它的意思是说，只是一板一眼地盘逻辑的话，冒险可是没办法继续的！
派蒙: 又是你乱编的吧！
玻娜: 总之，不管下面是什么，我觉得都应该先去一探究竟呢，这也是冒险的一部分吧？
: 呀！
派蒙: 唔，没想到这么精神，那我们先调查看看要怎么才能下去吧。

前往玻娜所在的地方
派蒙: 呃，这是什么啦，看起来好恶心…
玻娜: 这是还在形成中的深渊秽露，看起来是从上面渗下来的…唔，我还以为有壁画的地方会比较安全呢。
: 唔，呀！
玻娜: 欸？不好，好像有什么东西要掉下来了，大家小心！

与玻娜对话
玻娜: 真是吓了我一跳，幸好大家的反应都很快呢。
玻娜: 哎，怎么样，你们有什么发现吗？
派蒙: 这个嘛，倒是有发现个像是机关的东西啦，但是有点麻烦的样子…
: 呀！
玻娜: 哦哦，虽然不知道是什么，不过看起来有办法的样子嘛，我们过去看看吧！

与玻娜对话
派蒙: 哇，打开了，这次多亏了才找到了机关呢。
: 呀！
旅行者(空): 不愧是。
派蒙: 不过也不要自满哦，接下来还有更多的挑战在等着我们呢！
派蒙: 既然入口已经打开了，不管怎么样我们都得下去探个究竟了吧。
玻娜: 我也同意呢，小派蒙。
「绿松石」: 叽…叽！
玻娜: 嗯？绿宝你怎么这么抗拒的样子啦，不会是害怕了吧。可不能在这里退缩啊，我们的冒险之旅才刚走完一半呢！
「绿松石」: 咕…
派蒙: 玻娜你就不要强迫绿宝啦，它看起来真的很害怕的样子，难不成是下面有什么不得了的危险东西？
旅行者(空): 好可怕！
派蒙: 喂，你怎么也开始害怕了，像一样打起精神来啊！
旅行者(空): 开始跃跃欲试了。
派蒙: 哇，没想到你这么有精神，虽然我也觉得不管下面有什么都不会是你的对手啦。
旅行者(空): 不用担心，我们有勇敢小龙。
: 呀…呀！
派蒙: 唔，绿宝这么害怕的话，不如就先留在这里。啊，不过也不能把绿宝一个人抛下…
玻娜: 嗯，看来没办法了呢，既然这样我就和绿宝一起留在上面吧。为表诚意，我把火磷石也一起交给你们。
玻娜: 先说好哦，不管你们在下面发现了什么，都要回来这里找我会合！
旅行者(空): 我们不会抛弃伙伴的。
玻娜: 真的吗…那就好，我相信你们，我们会在这里等你们回来的。
旅行者(空): 你们就安心在这里等我们回来。
: 呀！

幻蛇的宫殿
跟随绿宝的指引来到了奥奇卡纳塔上层的宫殿遗迹，而在遗迹之下似乎隐藏着什么…

进入遗迹内部
玻娜: 那下面的事情就拜托你们啦，我和绿宝会在这里等你们回来。
玻娜: 不管你们在下面发现了什么，可都要回来跟我们会合啊！

探索遗迹内部
: 呜…
派蒙: 呃啊，外面都被深渊侵蚀了，感觉随时会掉下来的样子，绿宝指给我们的难道就是这个东西吗？
派蒙: 也不知道那里面是什么东西，反正我觉得肯定不会是什么祭坛啦…
旅行者(空): 「只是一板一眼地盘逻辑的话…」
派蒙: 啊啊，我知道啦。而且就是因为这些深渊，绿宝才会不愿意进来的吧。
旅行者(空): 不能放着深渊不管。
派蒙: 确实，就是因为这些深渊，绿宝才会不愿意进来的吧，不能放着不管呢。
旅行者(空): 出发了，！
: 呀！
派蒙: 喂，你们两个怎么把我排除啦，好过分！
派蒙: 总之我们就先把这些脏东西清理掉吧！

靠近可疑的核心
派蒙: 呼，总算是结束了…
派蒙: 保护它的秘源机兵也安静下来了呢。
派蒙: 好吧，现在让我们看看这个里面到底是什么东西！
: 呀！
派蒙: 可不要让我失望哦…欸？又是一块火磷石，原来这东西还不止一枚的吗？
派蒙: 唔，等等，包裹它的织卷看起来也很眼熟啊…就像是我们最开始在遗迹外面的塔楼里捡到的那个笔记。
: 呀…呀！
派蒙: 哇，实在是太诡异了，你也这样觉得吧，你快看看上面写的什么？
派蒙: 哇，居然真的是之前那个冒险家留下来的笔记，「统律之心」说的就是这里吧。
旅行者(空): 还有其它的可能。
派蒙: 是哦，而且我们在这里也找到了新的火磷石，说不定在其它地方也会有很多呢。
旅行者(空): 想不通的事情太多了。
派蒙: 是哦，而且绿宝把我们指向了这里，难道是它早知道这下面还藏了一块火磷石，所以想要让我们拿到？真是搞不懂。
: 呜…
旅行者(空): 我们还是先回去吧。
派蒙: 哎，确实，绿宝一定会知道些什么吧，而且也答应了玻娜不管发现了什么都要先回去的。
旅行者(空): 带回去让玻娜看看吧。
派蒙: 哎，确实，如果让玻娜看看的话说不定会有什么发现，而且也答应了她不管找到了什么都要先回去的。
派蒙: 我们赶紧离开这里吧。

设法清除深渊污染
玻娜: 哦哦，你们终于回来了！
玻娜: 所以你们在下面发现什么了呢，快说给我听听！
派蒙: 其实…
？？？: 你们将在下面的经历与发现告诉了玻娜…
玻娜: 欸？！你们是说在下面又找到了一枚火磷石？哇，我原本还以为我手上的是世上唯一的一枚呢。
玻娜: 等下，该不会我手上这枚其实是赝品吧…唔，难怪这么多年都没发现它有什么特殊的地方。
旅行者(空): 不会吧。
派蒙: 是啊，因为我们在下面找到的那块也一样，除了上面的花纹外没什么特别的。
旅行者(空): 我们还发现了…
派蒙: 哦对，我们还发现了一本奇怪的笔记，看起来像是以前来到这里的冒险家留下来的，你要看看吗？
玻娜: 冒险家的笔记？会来到这座诅咒之城的冒险家多半都是为了「回还之玉」而来，所以…我还是不看了吧。
派蒙: 嗯？但是上面提到了火磷石，还有祭坛的事情，说不定会是…
玻娜: 嗯嗯，我知道啦。就是因为这样，在找到「回还之玉」前，我才不想看那本笔记。
派蒙: 欸？那又是为什么？
玻娜: 多年来有无数的冒险家为了寻找天蛇船和「回还之玉」而踏上征途…
玻娜: 但他们无一例外地都失败了，谁也没能证明那艘天空之船真的存在。
玻娜: 在人们看来，那或许只是个虚妄的梦，是饱受深渊之苦的人们所寄托的幻想。
玻娜: 所以他们的冒险不会被叙事人所记录，他们的事迹也不会被任何人歌颂。
玻娜: 如果无法找到天蛇船，无法拿到「回还之玉」的话，那他们所做的一切就都没有意义了！
旅行者(空): 旅途本身就有意义。
玻娜: 是吗，你是这样认为的啊，你这种体验派的冒险家在纳塔可不多见哦。
玻娜: 虽说一事无成的冒险家也是存在的，但大部分人还是需要一些能够证明自己的东西的，不是吗？
旅行者(空): 经验也是很重要的。
玻娜: 你这种话是建立在真的存在那艘船的基础上的，假如世界上根本根本不存在什么天蛇船呢？
玻娜: 因此必须找到天蛇船才行，无论是为了老爹，还是为了其他曾为此付出生命的冒险家们。
玻娜: 而你们找到的那个笔记，无论究竟是谁留下来的，也只有在我们登上天蛇船之后，才会获得应有的价值。
玻娜: 所以哦，和小派蒙，要是我们真的能找到天蛇船然后平安回来，你们可要在那个冒险家协会好好宣传我们的事迹呀！
旅行者(空): 交给派蒙吧，她很擅长。
派蒙: 什么啦，你是想说我很擅长吹牛吗？要是我们真的找到了什么传说中的船，只要告诉凯瑟琳小姐都能传遍提瓦特了吧！
旅行者(空): 交给我吧。
派蒙: 嗯嗯，毕竟我们也算是传奇冒险家呢，只要把我们的故事告诉哪个记者，马上就能上报纸的头条吧！
旅行者(空): 交给吧。
: 呀！
派蒙: 虽然它答应的是很开心啦，但它就算想要宣传也只能告诉龙冒险家吧…等等，龙里也会有冒险家吗？
玻娜: 哈哈，真好，不过说了这么多你们还没有把你们找到的那枚火磷石拿出来看看呢！
派蒙: 对哦，，快把火磷石拿出来吧，不知道绿宝看到之后能不能想起些什么来。
「绿松石」: 咕噜…
: 呜呀…
派蒙: 怎、怎么回事啊，眼睛都要晃瞎了！
「绿松石」: 叽！咕叽！
派蒙: 哇，但是绿宝好像突然恢复了活力的样子！
旅行者(空): 看起来能使用「超能特攻光线」了。
派蒙: 嗯？，你是怎么能记住这么夸张的名字的啦。
派蒙: 不过确实，难道就像我们之前找到的那些能量碎屑一样，火磷石就是用来储存这种能量的…
旅行者(空): 看起来火磷石里也蕴藏着那种能量。
派蒙: 是哦，难道就像我们之前找到的那些能量碎屑一样，火磷石就是用来储存这种能量的…
派蒙: 然后也是因为有了这种能量，绿宝才能对付深渊的吗？
: 呀，呀！
玻娜: ，你们看看这个。
派蒙: 欸，又出什么事了？唔啊？！这个壁画怎么完全变样了！
玻娜: 看起来我们之前见到的壁画其实是覆盖在这个上面的呢。
旅行者(空): 在之前的壁画上也见到过…
派蒙: 是哦，这不就是我们在拿到第一块「通牒金盘」的遗迹里的壁画上也看见过的那条大黑龙吗？
派蒙: 看这上面画的，倒像是这条大黑龙才是这里的主人一样。
旅行者(空): 龙盘踞在城市之上…
派蒙: 看这上面画的，倒像是那条坏龙才是这里的主人一样。
「绿松石」: 叽…咕！
派蒙: 唔，绿宝想说什么，你对这幅壁画有什么印象吗？
「绿松石」: 咿！
派蒙: 欸，这次的光是指向天空…
「绿松石」: 咕咕！
玻娜: 嗯嗯，不会错了，源火祭坛一定就在那个方向，这座古城的最高处！
派蒙: 真的假的，每次你说得这么确定我就有点担心…
玻娜: 哎呀，就再相信我一次嘛，我有预感，这次一定不会错的！
派蒙: 竟然已经开始依靠预感了吗…不过好吧，现在也只能相信你了，我们上去看看吧。

启程，苍天航路
获得了两块火磷石之后，通往天空的道路终于打开了…

跟随绿宝的指引寻找源火祭坛
派蒙: 那就是源火祭坛了吗…呃，感觉想要过去的话还有点困难。
派蒙: 怎么办，我们是能用飞的啦，但是和玻娜要怎么办啦。
玻娜: 派蒙不会是在小看我吧，我可是花羽会的冒险家，飞行经验可是很丰富的。
玻娜: 就算是带上，飞到那边也是轻轻松松。
旅行者(空): 我也有飞行执照。
玻娜: 那就好，我会在前面给你们引路，你们只要跟上我就好了。
旅行者(空): 接下来是飞行竞速挑战吗？
玻娜: 哇，这种时候就不要有这种好胜之心啦，我会在前面给你们引路，你们只要跟上我就好了。
派蒙: 总感觉很危险的样子，也不知道会发生什么，你可要抓紧我们啦。
: 呀！

前往源火祭坛附近
派蒙: 哇，玻娜你飞得也太快了，我们差点就要跟不上了啦！
玻娜: 嘿嘿，抱歉抱歉，看到源火祭坛在前面，不知不觉就…
派蒙: 只要用这个祭坛就能去到天蛇船了吗？不过就算一会出现了什么超级大的风场把我们吹起来，也不知道要飞多久…
派蒙: 哇，想想就开始担心了。
旅行者(空): 别害怕，派蒙。
派蒙: 好吧，既然你都这样说了，一会你可不要和我离得太远哦。
旅行者(空): 哇，好刺激。
玻娜: 对吧对吧，我也开始兴奋起来了呢，作为冒险家可不能错过这样的挑战！
玻娜: 总之现在是要把火磷石供奉到那个上面，不过我们手上有两枚火磷石，呃…保险起见就把它们一起放上去吧。
