溯及以往 溯及以往

被丢失的合照
在破破岛上，有一位一直叨念着丢失照片的愚人众藏镜仕女，看样子似乎无法正常沟通…找到让她恢复理智的办法，说不定能得知她在此行动的目的。
派蒙: 这里怎么有愚人众，这名藏镜仕女…
派蒙: 他们留在这里，不会又在搞什么阴谋诡计吧。
藏镜仕女: …要赶快回去…要赶快回去，他还在…可是，哥哥们不见了，哥哥们的照片…
派蒙: 喂，你是谁，在这里有什么企图！
藏镜仕女: 哥哥们的照片…丢了照片，就回不去了…
派蒙: 愚人众的！
藏镜仕女: 不能，把他丢下…不能让他一个人…
旅行者(空): 状态不太对呢…
旅行者(空): 没法沟通啊…
派蒙: 嗯…不过真有点在意为什么会有一个藏镜仕女在这儿呢…
派蒙: ，不如我们想办法让她清醒过来，然后好好问问这些散落在外的愚人众在做什么吧！
旅行者(空): 确实不能放着不管…
派蒙: 嗯，虽然只是一个不太正常的愚人众…但是放任不管的话总觉得不是什么好事呢。
派蒙: 不过，她到底为什么会变成现在这样啊…
旅行者(空): 因为那个装置吧…
派蒙: 啊，是哦，那个装置影响了岛上所有的人…不过那个装置明明已经关闭了…
藏镜仕女: 哥哥们和我的合照…要是那个找不回来了，我就没法回去，可是…可是他还在那里，独自等着我…
派蒙: 我明白了…，我们把她心心念念的什么合照找来吧，说不定就能让她清醒过来了！

与藏镜仕女对话
藏镜仕女: 这…啊，这个是我的，这里面是哥哥们和我的合照…
藏镜仕女: 能够重新找回来真是太好了，之前到底是丢在哪了呢…唔，不对，头好痛…
派蒙: 我们是在丘丘人营地的旁边找到的啦！
藏镜仕女: 真是，真是十分感谢…
藏镜仕女: 啊！是内部文件上看到过的…金发的和小飞人！
派蒙: 是「派蒙」啦…唉，我干脆改名叫「小飞人」算了…
藏镜仕女: 你们对我做了什么，记忆…记忆有一段空白，你们不会对我做了什么奇怪的实验吧！
藏镜仕女: 就算我们立场不同…这样的行为也是不能被接受的！
派蒙: 做奇怪实验的是你们啦！
派蒙: 居然对把合照还给你的好心人说这种话！
藏镜仕女: …原来是这样，可是，既然我清醒了过来就说明，佩尔西科夫研究员的实验失败了。
藏镜仕女: 看到你们也大概猜到失败的原因…欸呀，从立场上我们暂时仍是敌对的，你们还把合照给我，你们对敌人也太好心了吧…
藏镜仕女: 正确的做法应该是把别人的珍贵之物，比如对我来说，就是刚才怀表里的合照…应该把合照拿在手里，然后威胁我说出情报。
派蒙: 居然反过来被教训了…
旅行者(空): 好没有人情味的做法…
藏镜仕女: …确实，是很没有人情味的做法，但是我们进入愚人众之后就是这样被教导的。
旅行者(空): 下次试试看吧…
派蒙: 不要学这种事啦！
派蒙: 对了，你们在这里到底在搞什么破坏，快说出来啦！
藏镜仕女: 我…我们，我们一起到了这岛上…对了，扎哈尔！
藏镜仕女: 他还一个人在那里，得快点回去！
？？？: 似乎想起了什么，刚清醒的愚人众转身就离开了…

前去藏镜仕女离开的方向查看
阿加菲娅: 扎哈尔！扎哈尔！你能听见吗！
阿加菲娅: 这里怎么会变成这样…我们来的时候这里明明就是个山洞，这荆棘是怎么回事…
派蒙: 啊，这就是因为受到你们那个什么幻境实验的影响导致的啦。
派蒙: 这个岛上有很多类似的荆棘呢，不过只要用一定的方法…
阿加菲娅: 是放火吗？你们不会是想放火烧掉荆棘吧，不行，里面可还有人呢！
阿加菲娅: 虽说早就听闻和派蒙非常危险，有的时候只是走在执行公务的路上也会被突然袭击…
阿加菲娅: 但是居然想放火慢慢烧一个大活人，天啊，就连最残忍的债务处理人都做不到这种程度…
派蒙: 当然不是啦…而且这种荆棘用火烧也没用…
派蒙: 我们有将荆棘打开，但不会伤到里面的人的办法…
阿加菲娅: 真的吗，我可不信你们有这么神通广大。
派蒙: 什么，，这就把荆棘打开给她看看！
旅行者(空): 上当受骗了哦，派蒙…
旅行者(空): 别这么简单就被挑拨啦…
派蒙: 咦…好呀，你故意挑拨我！
阿加菲娅: 居然被识破了，真是可惜。
派蒙: 哼，真是奸诈狡猾的愚人众，我们差点就中了你的诡计！
旅行者(空): 中计的只有你啦…
派蒙: 呜…总之，总之我们可以救出里面的人，但是相对的，你也得说出一些情报来…
派蒙: 这就是用别人的珍贵之物作为威胁，让别人说出情报的方法！
阿加菲娅: 哇，真是好没有人情味的做法。
旅行者(空): 好没有人情味的做法…
派蒙: 她说也就算了，为什么你也说我呀，你到底是哪一边的！
阿加菲娅: …情报吗，阿加菲娅，我的名字是阿加菲娅，现在能给的情报只有这样了。
派蒙: 只有一个名字吗！
阿加菲娅: 我要是说出什么重要情报，你们就拉下脸来说什么「是嘛，你已经没用了…」之类的台词，然后把我解决掉…
阿加菲娅: 愚人众的教官说每年都会发生很多类似的事，所以一定不能外泄重要的情报。
